Name,Size,Diameter,Core Diameter,Weight,Core Rated Strength,Conductor Rated Strength,DC Ohms 20,AC Ohms 25,AC Ohms 75,AC Ohms 180,Ampacity,,
,kcmil,in,in,lb/kft,lbf,lbf,ohm/mile,ohm/mile,ohm/mile,ohm/mile,75,180,200
ULS IRVING,609,0.882,0.345,645,35100,39000,0.1454,0.1491,0.1788,0.2411,753,1280,1348
ULS LUBBOCK,904,1.04,0.345,921,35100,40800,0.0979,0.1011,0.121,0.1628,956,1640,1729
ULS GALVESTON,1011,1.09,0.345,1022,35100,41500,0.0875,0.0907,0.1084,0.1456,1022,1760,1856
ULS DRAKE,1026,1.108,0.375,1049,41200,47700,0.0863,0.0892,0.1065,0.1428,1036,1786,1884
ULS CURLEW,1033,1.14,0.415,1083,50600,57200,0.0862,0.0898,0.1069,0.1429,1042,1802,1901
ULS PLANO,1059,1.127,0.345,1070,35100,41800,0.084,0.0876,0.1045,0.14,1050,1813,1913
ULS CORPUS CHRISTI,1103,1.146,0.345,1110,35100,42100,0.0806,0.0843,0.1005,0.1346,1076,1860,1962
ULS ARLINGTON,1151,1.177,0.375,1170,41200,48500,0.0773,0.0809,0.0964,0.129,1106,1915,2021
ULS CARDINAL,1222,1.198,0.345,1222,35100,42900,0.0728,0.0762,0.0906,0.1208,1146,1990,2101
ULS FORT WORTH,1300,1.24,0.375,1309,41200,49500,0.0684,0.0721,0.0858,0.1145,1189,2067,2183
ULS El PASO,1350,1.252,0.345,1342,35100,43700,0.0659,0.0698,0.0829,0.1104,1212,2111,2230
ULS SAN ANTONIO,1475,1.315,0.385,1481,43500,52900,0.0603,0.0623,0.0738,0.0978,1302,2278,2408
ULS BITTERN,1582,1.345,0.345,1563,35100,45200,0.0566,0.0603,0.0714,0.0947,1331,2333,2466
ULS DALLAS,1795,1.452,0.385,1790,43500,55000,0.0497,0.0546,0.064,0.0839,1435,2541,2689
ULS HOUSTON,1927,1.506,0.415,1929,50600,62900,0.0459,0.051,0.0596,0.0775,1502,2675,2833
ULS LAPWING,1949,1.504,0.385,1935,43500,55900,0.0458,0.0507,0.0595,0.078,1502,2665,2821
ULS CHUKAR,2242,1.604,0.395,2217,46100,60400,0.0398,0.0445,0.0521,0.0681,1633,2913,3085
ULS FALCON,2045,1.545,0.415,2040,50600,63700,0.0436,0.0479,0.0563,0.0739,1555,2761,2923
ULS BLUEBIRD,2741,1.762,0.415,2698,50600,68100,0.0326,0.0387,0.0454,0.0595,1794,3213,3405
