name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
350-E,350,19,0.788,1403,31474,,,0.0302,
350-EK,350,19,0.735,1238,23141,,,0.0302,
300-E,300,19,0.729,1203,26974,,,0.0353,
300-EK,300,19,0.68,1061,20338,,,0.0353,
250-E,250,19,0.666,1002,23226,,,0.0423,
250-EK,250,19,0.621,884.2,17302,,,0.0423,
4/0-E,4/0,19,0.613,848.3,20114,,,0.05,
4/0-EK,4/0,19,0.571,748.4,14881,,,0.05,
4/0-F,4/0,7,0.55,710.2,11593,,,0.05,
2/0-K,2/0,7,0.534,645.9,17071,,,0.0795,
2/0-J,2/0,7,0.494,560.6,13420,,,0.0795,
2/0-F,2/0,7,0.436,446.8,7686,,,0.0795,
1/0-K,1/0,7,0.475,512,14064,,,0.1,
1/0-J,1/0,7,0.44,444.3,10640,,,0.1,
1/0-F,1/0,7,0.388,354.1,6252,,,0.1,
1-K,1,7,0.423,406.2,11554,,,0.127,
1-J,1,7,0.392,352.2,8735,,,0.127,
1-F,1,7,0.346,280.9,5067,,,0.127,
2-K,2,7,0.377,322.1,9439,,,0.159,
2-J,2,7,0.349,279.5,7107,,,0.159,
2-A,2,3,0.366,265.8,5703,,,0.159,
2-F,2,7,0.308,222.8,4070,,,0.159,
4-D,4,3,0.348,225.5,7120,,,0.253,
4-A,4,3,0.29,161.5,3809,,,0.253,
6-D,6,3,0.276,141.8,4796,,,0.403,
6-A,6,3,0.23,101.6,2499,,,0.403,
6-C,6,3,0.225,97.34,2072,,,0.403,
8-D,8,3,0.219,89.24,3160,,,0.64,
8-A,8,3,0.199,74.28,2211,,,0.64,
8-C,8,3,0.179,60.67,1214,,,0.64,
