Name,AltName,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,Phase2Radius,Phase2X,Phase2Hin,Phase2Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4
B1.1N,B2.1N,1,0,9,9,1,0,-12,-12,1,2,-42,-42,1,0,-16,-34,,
B1.2N,B2.2N,1,0,9,9,1,0,-12,-12,1,15,-42,-42,1,0,-16,-34,,
B1.1NP,B2.1NP,1,2,12,12,1,2,-9,-9,1,2,-42,-42,1,0,-16,-34,,
B1.2NP,B2.2NP,1,2,12,12,1,2,-9,-9,1,15,-42,-42,1,0,-16,-34,,
B1.3N,B2.3N,1,0,9,9,1,0,-12,-12,1,2,-42,-42,1,0,-16,-34,,
B1.3NP,B2.3NP,1,2,12,12,1,2,-9,-9,1,2,-42,-42,1,0,-16,-34,,
B1.4N,B2.4N,1,9999,4,4,1,9999,-19,-19,1,2,-52,-52,1,0,-20,-48,,
B1.5N,B2.5N,1,9999,4,4,1,9999,-19,-19,1,15,-52,-52,1,0,-20,-48,,
B1.4NP,B2.4NP,1,9999,7,7,1,9999,-16,-16,1,2,-52,-52,1,0,-20,-48,,
B1.5NP,B2.5NP,1,9999,7,7,1,9999,-16,-16,1,15,-52,-52,1,0,-20,-48,,
B1.6N,B2.6N,1,9999,4,4,1,9999,-19,-19,1,2,-52,-52,1,0,-20,-48,,
B1.6NP,B2.6NP,1,9999,7,7,1,9999,-16,-16,1,2,-52,-52,1,0,-20,-48,,
B1.7N,B2.7N,1,9999,4,4,1,9999,-43,-43,1,2,-100,-100,1,0,-27,-69,,
B1.8N,B2.8N,1,9999,4,4,1,9999,-43,-43,1,15,-100,-100,1,0,-27,-69,,
B1.7NP,B2.7NP,1,9999,7,7,1,9999,-40,-40,1,2,-100,-100,1,0,-27,-69,,
B1.8NP,B2.8NP,1,9999,7,7,1,9999,-40,-40,1,15,-100,-100,1,0,-27,-69,,
B1.9N,B2.9N,1,9999,4,4,1,9999,-43,-43,1,2,-100,-100,1,0,-27,-69,,
B1.9NP,B2.9NP,1,9999,7,7,1,9999,-40,-40,1,2,-100,-100,1,0,-27,-69,,
B1.11,B2.21,0,44,-5,-5,0,44,-5,-5,1,2,-42,-42,1,0,-27,,,
B1.12,B2.22,0,44,-5,-5,0,44,-5,-5,1,15,-42,-42,1,0,-27,,,
B1.11P,B2.21P,0,44,-2,-2,0,44,-2,-2,1,2,-42,-42,1,0,-27,,,
B1.12P,B2.22P,0,44,-2,-2,0,44,-2,-2,1,15,-42,-42,1,0,-27,,,
B1.13,B2.23,0,44,-5,-5,0,44,-5,-5,1,2,-42,-42,1,0,-27,,,
B1.13P,B2.23P,0,44,-2,-2,0,44,-2,-2,1,2,-42,-42,1,0,-27,,,
B1.14,B2.24,0,44,-5,-5,0,44,-5,-5,0,15,-5,-5,1,0,-27,,,
B1.14P,B2.24P,0,44,-2,-2,0,44,-2,-2,0,15,-5,-5,1,0,-27,,,
B1.15,B2.25,0,44,-5,-5,0,44,-5,-5,0,15,-5,-5,1,0,-27,,,
B1.15P,B2.25P,0,44,-2,-2,0,44,-2,-2,0,15,-5,-5,1,0,-27,,,
B3,,1,9999,-6,-6,1,9999,-54,-54,1,2,-102,-102,1,0,-27,,,
B4.1G,,1,9999,-12,-9,1,9999,-54,-60,1,2,-108,-102,1,0,-30,-66,-24,-60
B4.2G,,1,9999,-12,-9,1,9999,-54,-60,1,2,-108,102,1,0,-30,-66,-24,-60
B5.1,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5.2,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5.3,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5.4,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5.5,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5.6,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5.7,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5.8,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5.9,,1,9999,-6,6,1,9999,-54,-54,1,2,-102,-102,1,0,-30,-66,,
B5-21,B5-31,0,42,-18,-18,0,42,-18,-18,0,0,-18,-18,1,0,-27,,,
B6-21,,0,42,-18,-18,0,42,-18,-18,0,0,-18,-18,1,0,-27,,,
