name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Partridge,266.8,26/7,0.642,366.9,8900,0.0217,812,0.0619,0.0633
Oriole,336.4,30/7,0.741,526.4,14800,0.0255,957,0.0488,0.0499
Linnet,336.4,26/7,0.72,462,11200,0.0244,945,0.0492,0.0503
Lark,397.5,30/7,0.806,621.8,17500,0.0277,1068,0.0413,0.0423
Ibis,397.5,26/7,0.783,546,13000,0.0265,1054,0.0416,0.0426
Hen,477,30/7,0.883,746.4,21000,0.304,1204,0.0344,0.0353
Hawk,477,26/7,0.858,655.3,15600,0.029,1188,0.0347,0.0355
Flicker,477,24/7,0.846,613.9,13000,0.0283,1180,0.0348,0.0357
Eagle,556.5,30/7,0.953,870.7,24500,0.0328,1331,0.0295,0.0303
Dove,556.5,26/7,0.927,765.2,18200,0.0313,1315,0.0297,0.0305
Parakeet,556.5,24/7,0.914,716.1,15200,0.0306,1306,0.0298,0.0307
Peacock,605,24/7,0.953,778.8,16500,0.0319,1379,0.0274,0.0282
Egret,636,30/19,1.019,987.2,28000,0.0351,1453,0.0258,0.0266
Grosbeak,636,26/7,0.99,874.2,20700,0.0335,1435,0.026,0.0268
Rook,636,24/7,0.977,818.2,17300,0.0327,1425,0.0261,0.0269
Flamingo,666.6,24/7,1,857.9,18200,0.0335,1470,0.0249,0.0257
Redwing,715.5,30/19,1.081,1109,30800,0.0372,1570,0.023,0.0237
Starling,715.5,26/7,1.051,983.7,23300,0.0355,1550,0.0231,0.0238
Mallard,795,30/19,1.14,1234,34300,0.0392,1683,0.0207,0.0213
Condor,795,54/7,1.092,1022,21700,0.0368,1618,0.0209,0.0216
Tern,795,45/7,1.063,895,14200,0.0352,1618,0.021,0.0218
Drake,795,26/7,1.108,1093,25900,0.0375,1662,0.0208,0.0215
Cuckoo,795,24/7,1.092,1023,21700,0.0361,1650,0.0209,0.0216
Canary,900,54/7,1.162,1158,24600,0.0392,1756,0.0184,0.0192
Ruddy,900,45/7,1.131,1013,15800,0.0374,1755,0.0186,0.0194
Cardinal,954,54/7,1.196,1227,26000,0.0404,1825,0.0174,0.0181
Rail,954,45/7,1.165,1074,16700,0.0385,1824,0.0175,0.0183
Curlew,1033.5,54/7,1.245,1329,28200,0.042,1924,0.0161,0.0168
Ortolan,1033.5,45/7,1.212,1163,18100,0.0401,1921,0.0162,0.017
Finch,1113,54/19,1.293,1430,30400,0.0436,2015,0.015,0.0157
Bluejay,1113,45/7,1.259,1254,19500,0.0416,2017,0.015,0.0159
Grackle,1192.5,54/19,1.338,1531,32600,0.0451,2110,0.014,0.0147
Bunting,1192.5,45/7,1.302,1342,21400,0.0431,2100,0.014,0.0149
Pheasant,1272,54/19,1.382,1634,34100,0.0466,2200,0.0131,0.0139
Bittern,1272,45/7,1.345,1432,22300,0.0445,2201,0.0132,0.014
Martin,1351,54/19,1.424,1735,36200,0.048,2288,0.012,0.013
Dipper,1351,45/7,1.386,1521,23700,0.0459,2289,0.0124,0.0132
Plover,1431,54/19,1.465,1838,38400,0.0495,2375,0.012,0.012
Bobolink,1431,45/7,1.427,1611,25100,0.0472,2375,0.012,0.013
Falcon,1590,54/19,1.545,2042,42600,0.0521,2545,0.011,0.011
Lapwing,1590,45/7,1.504,1790,27900,0.0498,2543,0.011,0.012
Chukar,1780,84/19,1.602,2072,35400,0.0534,2751,0.009,0.01
Bluebird,2156,84/19,1.762,2508,42100,0.0588,3106,0.008,0.009
Kiwi,2167,72/7,1.735,2301,29000,0.057,3080,0.008,0.009
Thrasher,2312,76/19,1.802,2523,35600,0.06,3218,0.007,0.009
