name,size,strands,diameter,weight,strength,designtension
12006xd0y,Dri-Lite 6,6,0.46,84,600,0.33
12012xD0y,Dri-Lite 12,12,0.46,84,600,0.33
12024xD0y,Dri-Lite 24,24,0.46,84,600,0.33
12036xD0y,Dri-Lite 36,36,0.46,84,600,0.33
12048xD0y,Dri-Lite 48,48,0.46,84,600,0.33
12072xD0y,Dri-Lite 72,72,0.49,100,600,0.33
12096xD0y,Dri-Lite 96,96,0.56,125,600,0.33
12144xD0y,Dri-Lite 144,144,0.69,182,600,0.33
12192xD0y,Dri-Lite 192,192,0.69,177,600,0.33
12216xD0y,Dri-Lite 216,216,0.69,177,600,0.33
12288xD0y,Dri-Lite 288,288,0.8,228,600,0.33
12432xD0y,Dri-Lite 432,432,0.91,273.7,600,0.33
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
