StudyPoleTag,PoleTag,PoleNumber,Assembly,AssemblyHeight,ConductorType,ConductorName,NormAngle,Span,Tension
01290,01290,0,B6.21,0.0,CopperweldCopper,4-A,-0.83841845007984,131.0,1324.0
01290,01290,1,B6.21,0.0,CopperweldCopper,4-A,-0.83841845007984,131.0,1324.0
01290,01290,2,B6.21,0.0,CopperweldCopper,8-D,-0.83841845007984,131.0,1067.0
01290,24290,0,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0
01290,24290,1,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0
01290,24290,2,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0
01290,01294,0,B6.21,0.0,CopperweldCopper,4-A,2.4894988873025,131.0,1324.0
01290,01294,1,B6.21,0.0,CopperweldCopper,4-A,2.4894988873025,131.0,1324.0
01290,01294,2,B6.21,0.0,CopperweldCopper,8-D,2.4894988873025,131.0,1067.0
24290,24290,0,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0
24290,24290,1,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0
24290,24290,2,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0
24290,25520,0,A5.01,0.0,Triplex,Shrimp,-1.4551694214701,77.0,990.0
24290,01427,0,B6.21,0.0,CopperweldCopper,4-A,-2.0785457068363,340.0,1744.0
24290,01427,1,B6.21,0.0,CopperweldCopper,4-A,-2.0785457068363,340.0,1744.0
24290,01427,2,B6.21,0.0,CopperweldCopper,8-D,-2.0785457068363,340.0,1396.0
24290,01290,0,B6.21,0.0,Copperweld,Copperweld 3#8,2.30317420351,1127.0,2835.0
24290,01290,1,B6.21,0.0,Copperweld,Copperweld 3#8,2.30317420351,1127.0,2835.0
24290,01290,2,B6.21,0.0,Copperweld,Copperweld 3#8,2.30317420351,1127.0,2835.0
